Occupation Title,Occupation Code,Employment 2024,Employment 2034,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average",Median Annual Wage 2024,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode,SOC_Code,SOC_Major,Occupation_Clean,Occupation_Category,AI_Theoretical_Exposure,AI_Observed_Exposure,AI_Automation_Gap
Information security analysts    * Computer Security Specialist* Computer Systems Security Analyst* IT Risk Specialist* Information Security Analyst* Information Systems Security Analyst* Network Security Analyst,"=""15-1212""",182.8,234.9,52.1,28.5,16.0,124910.0,Bachelor's degree,3,Less than 5 years,2,,6,15-1212,15,Information security analysts,Computer & Mathematical,94.3,33.0,61.3
Human resources specialists    * Corporate Recruiter* Credentialing Coordinator* Employee Placement Specialist* Human Resources Generalist* Job Placement Officer* Job Placement Specialist* Job Recruiter* Personnel Coordinator* Personnel Officer* Personnel Recruiter* Personnel Specialist* Staffing Coordinator* Student Recruiter* Volunteer Coordinator,"=""13-1071""",944.3,1002.7,58.4,6.2,81.8,72910.0,Bachelor's degree,3,,4,,6,13-1071,13,Human resources specialists,Business & Financial,94.3,27.5,66.8
Project management specialists    * Design Project Management Specialists* Movie Project Management Specialists,"=""13-1082""",1046.3,1105.0,58.7,5.6,78.2,100750.0,Bachelor's degree,3,,4,,6,13-1082,13,Project management specialists,Business & Financial,94.3,27.5,66.8
"Managers, all other    * Clerk of Court* Environmental Control Administrator* Highway Patrol Commander* Safety Coordinator* Social Science Manager* Utilities Manager","=""11-9199""",1333.7,1393.5,59.8,4.5,106.7,136550.0,Bachelor's degree,3,Less than 5 years,2,,6,11-9199,11,"Managers, all other",Management,91.3,18.2,73.1
Market research analysts and marketing specialists    * Advertising Analyst* Market Research Analyst* Market Research Specialist* Marketing Analyst* Marketing Consultant* Marketing Forecaster* Marketing Specialist* Search Marketing Strategist,"=""13-1161""",941.7,1004.7,63.0,6.7,87.2,76950.0,Bachelor's degree,3,,4,,6,13-1161,13,Market research analysts and marketing specialists,Business & Financial,94.3,27.5,66.8
Accountants and auditors    * Account Auditor* Accountant* Auditor* Auditor-In-Charge* CPA* Certified Public Accountant* Cost Accountant* Field Auditor* Financial Accountant* Financial Auditor* Fund Accountant* Internal Auditor* Payroll Auditor* Tax Accountant,"=""13-2011""",1579.8,1652.6,72.8,4.6,124.2,81680.0,Bachelor's degree,3,,4,,6,13-2011,13,Accountants and auditors,Business & Financial,94.3,27.5,66.8
"Substance abuse, behavioral disorder, and mental health counselors","=""21-1018""",483.5,564.6,81.0,16.8,48.3,59190.0,Master's degree,2,,4,Internship/residency,1,21-1018,21,"Substance abuse, behavioral disorder, and mental health counselors",Community & Social Service,67.5,8.4,59.1
Data scientists    * Business Intelligence Developer* Data Analytics Specialist* Data Mining Analyst* Data Visualization Developer,"=""15-2051""",245.9,328.3,82.5,33.5,23.4,112590.0,Bachelor's degree,3,,4,,6,15-2051,15,Data scientists,Computer & Mathematical,94.3,33.0,61.3
Management analysts    * Business Analyst* Business Consultant* Business Management Analyst* Business Process Consultant* Clerical Methods Analyst* Commercial Specialist* Industrial Analyst* Management Consultant* Records Management Analyst* University Institutional Researcher,"=""13-1111""",1075.1,1169.7,94.5,8.8,98.1,101190.0,Bachelor's degree,3,Less than 5 years,2,,6,13-1111,13,Management analysts,Business & Financial,94.3,27.5,66.8
Computer and information systems managers    * Application Development Director* Chief Technology Officer* Computer Operations Manager* Computer Security Manager* Data Operations Director* Data Processing Manager* Information Systems Director* Information Systems Manager* Information Technology Director* Information Technology Systems Director* Internet Technology Manager* MIS Director* Management Information Systems Director,"=""11-3021""",667.1,768.7,101.6,15.2,55.6,171200.0,Bachelor's degree,3,5 years or more,1,,6,11-3021,11,Computer and information systems managers,Management,91.3,18.2,73.1
Nurse practitioners    * Acute Care Nurse Practitioner* Adult Nurse Practitioner* Cardiology Nurse Practitioner* Certified Nurse Practitioner* Certified Pediatric Nurse Practitioner* Certified Registered Nurse Practitioner* Dermatology Nurse Practitioner* Electrophysiology Nurse Practitioner* Emergency Medicine Nurse Practitioner* Family Health Nurse Practitioner* Family Practice Nurse Practitioner* Gastroenterology Nurse Practitioner* Gerontological Nurse Practitioner* Internal Medicine Nurse Practitioner* NP* Neurosurgical Nurse Practitioner* Obstetrics-Gynecology Nurse Practitioner* Orthopedic Nurse Practitioner* Palliative Care Nurse Practitioner* Pediatric Nurse Practitioner* Surgical Nurse Practitioner,"=""29-1171""",320.4,448.8,128.4,40.1,29.5,129210.0,Master's degree,2,,4,,6,29-1171,29,Nurse practitioners,Healthcare Practitioners,65.4,7.2,58.2
Financial managers    * Bank Branch Manager* Banking Center Manager* Banking Manager* City Comptroller* City Treasurer* Comptroller* Credit Manager* Financial Director* Financial Officer* Fiscal Manager* International Bank Manager* Residential Mortgage Manager,"=""11-3031""",868.6,997.4,128.8,14.8,74.6,161700.0,Bachelor's degree,3,5 years or more,1,,6,11-3031,11,Financial managers,Management,91.3,18.2,73.1
Medical and health services managers    * Chief Medical Information Officer* Clinic Director* Clinical Informatics Director* Clinical Services Director* Emergency Medical Service Coordinator* Health Care Manager* Health Information Services Manager* Health Services Administrator* Health Services Director* Healthcare Administrator* Healthcare Manager* Hospice Director* Hospice Plan Administrator* Hospital Administrator* Hospital Director* Medical Director* Medical Records Administrator* Medical and Health Information Manager* Mental Health Program Manager* Nursing Home Manager* Nursing Service Director* Occupational Therapy Director* Public Health Administrator* Respiratory Therapy Director* Speech and Hearing Therapy Director* Wellness Director* Wellness Manager,"=""11-9111""",616.2,759.1,142.9,23.2,62.1,117960.0,Bachelor's degree,3,Less than 5 years,2,,6,11-9111,11,Medical and health services managers,Management,91.3,18.2,73.1
General and operations managers    * Department Store General Manager* Department Store Manager* General Manager* General Superintendent* Manufacturing Operations Manager* Operational Risk Manager* Operations Manager* Radio Station Manager* Television Store Manager,"=""11-1021""",3712.9,3876.8,164.0,4.4,308.7,102950.0,Bachelor's degree,3,5 years or more,1,,6,11-1021,11,General and operations managers,Management,91.3,18.2,73.1
Registered nurses    * CCU Nurse* CNS* Clinical Nurse Specialist* Community Health Nurse* Coronary Care Unit Nurse* Emergency Room RN* Endoscopy Registered Nurse* Hospice Registered Nurse* Obstetrical Nurse* Oncology Registered Nurse* PACU Nurse* Pediatric Registered Nurse* Post-Anesthesia Care Unit Nurse* Psychiatric Nurse* RN* Triage Registered Nurse,"=""29-1141""",3391.0,3557.1,166.1,4.9,189.1,93600.0,Bachelor's degree,3,,4,,6,29-1141,29,Registered nurses,Healthcare Practitioners,65.4,7.2,58.2
Software developers    * Application Integration Engineer* Applications Developer* Computer Applications Developer* Computer Applications Engineer* Computer Systems Engineer* Computer Systems Software Architect* Computer Systems Software Engineer* Embedded Systems Software Developer* Enterprise Systems Engineer* Mobile Applications Developer* Software Applications Architect* Software Applications Designer* Software Applications Engineer* Software Engineer* Software Systems Engineer* Systems Software Designer* Systems Software Developer* Systems Software Specialist,"=""15-1252""",1693.8,1961.4,267.7,15.8,115.2,133080.0,Bachelor's degree,3,,4,,6,15-1252,15,Software developers,Computer & Mathematical,94.3,33.0,61.3
